,Richness,Chaos1,ACE
AM-L-P-1,983,36.76900233,14.28194041
AM-L-P-2,766,21.99911389,11.97058669
AM-L-P-3,327,17.81540427,12.45627425
AM-L-P-4,276,15.38801261,9.623961477
AM-L-P-5,455,27.35916764,13.58055806
AM-L-P+1,878,23.76185254,14.33673122
AM-L-P+2,1071,21.52755487,11.68814136
AM-L-P+3,471,15.469126,12.09034198
AM-L-P+4,304,36.27783153,11.97897207
AM-L-P+5,318,15.83236992,10.96537266
NM-L+P-1,386,31.41015186,15.66115843
NM-L+P-2,516,28.55371392,13.88541926
NM-L+P-3,893,68.57511066,15.7741803
NM-L+P-4,696,47.22059828,16.94986182
NM-L+P-5,408,23.78869977,11.65726975
NM-L+P+1,585,15.44577812,12.0074402
NM-L+P+2,2003,19.80723348,22.24790977
NM-L+P+3,1369,15.93928278,15.32423859
NM-L+P+4,829,22.15336153,15.0219585
NM-L+P+5,769,17.69745329,14.69916188
