,OTUs,A,B,C,size,Class
1,ASV1,0.162993871,0.001421307,8.48E-05,5.48333116,A
2,ASV10,0.007034815,0.019820055,0.015177989,1.401095319,none
3,ASV100,0.000169514,0.000156474,0.004374756,0.156691442,C
4,ASV1000,0.000352067,0,0,0.011735559,A
5,ASV10009,0,9.13E-05,0.003566306,0.121919416,C
6,ASV1002,0.004537749,0,3.26E-05,0.152344938,A
7,ASV10023,0,6.52E-05,0.00054114,0.02021124,C
8,ASV1003,0.000162994,0.000293389,0.000286869,0.024775068,none
9,ASV1004,0.000117356,0.001251793,0.000443343,0.060416395,B
10,ASV1005,0.000325988,0.002777416,0.000697614,0.126700569,B
11,ASV1007,0.000104316,0,0.000469422,0.019124614,C
12,ASV101,0.000215152,0.000495501,0.002366671,0.102577476,C
13,ASV10104,0,5.87E-05,0.000449863,0.016951363,C
14,ASV1013,0.000143435,0,0.000684574,0.027600296,C
15,ASV1015,5.87E-05,0.000573738,0.001219194,0.061720346,C
16,ASV1019,0.000110836,0.000104316,0.000286869,0.016734037,C
17,ASV1022,0.000345547,7.17E-05,0.000449863,0.028904247,C
18,ASV1025,3.26E-05,0.00053462,0,0.018907289,B
19,ASV10251,0,3.26E-05,0.000625896,0.021949841,C
20,ASV1030,0.00132351,0.008599557,0,0.330768896,B
21,ASV1032,7.82E-05,0,0.000202112,0.009344982,C
22,ASV1058,3.91E-05,0.000130395,0.004655105,0.16082062,C
23,ASV1059,6.52E-05,0.000358587,0,0.014126136,B
24,ASV1065,5.87E-05,0,0.001486504,0.051506063,C
25,ASV1068,0.000560699,0,0,0.018689964,A
26,ASV107,0.00080193,0.000475942,0.000117356,0.046507585,A
27,ASV10804,0,0.000417264,0,0.01390881,B
28,ASV10832,0,0.000625896,0,0.020863216,B
29,ASV1090,5.87E-05,0.003136002,0.00160386,0.159951319,B
30,ASV11,0.00717173,0,0,0.239057678,A
31,ASV110,0.000215152,0.00134307,0.00079541,0.078454383,B
32,ASV11086,0,0.00212544,0,0.070848003,B
33,ASV11087,0,0.002177598,0,0.072586604,B
34,ASV11088,0,0.001708176,0,0.056939192,B
35,ASV11089,0,0.00133655,0.000130395,0.048898161,B
36,ASV11090,0,0.001271352,0,0.042378407,B
37,ASV11091,0,0.001173556,0,0.039118529,B
38,ASV11092,0,0.001206155,0.000130395,0.044551658,B
39,ASV11093,0,0.00107576,0,0.035858652,B
40,ASV11094,0,0.001167036,0,0.038901204,B
41,ASV11095,0,0.001199635,0,0.03998783,B
42,ASV11096,0,0.000997522,0,0.03325075,B
43,ASV11097,0,0.000964924,0,0.032164124,B
44,ASV11098,0,0.000932325,0,0.031077498,B
45,ASV11099,0,0.0010562,0,0.035206676,B
46,ASV111,0.000612857,0,0.000162994,0.025861694,A
47,ASV11100,0,0.000925805,0,0.030860173,B
48,ASV11101,0,0.001036641,0,0.034554701,B
49,ASV11102,0,0.000912766,0,0.030425523,B
50,ASV11103,0,0.000912766,0,0.030425523,B
51,ASV11104,0,0.000906246,0,0.030208198,B
52,ASV11105,0,0.000984483,0,0.032816099,B
53,ASV11106,0,0.00079541,0,0.02651367,B
54,ASV11107,0,0.00079541,0,0.02651367,B
55,ASV11108,0,0.000814969,0,0.027165645,B
56,ASV11109,0,0.000665015,0,0.022167167,B
57,ASV11110,0,0.000632416,0,0.021080541,B
58,ASV11111,0,0.000671535,0,0.022384492,B
59,ASV11112,0,0.000697614,0,0.023253792,B
60,ASV11113,0,0.000730213,0,0.024340418,B
61,ASV11114,0,0.000684574,0,0.022819142,B
62,ASV11115,0,0.000651975,0,0.021732516,B
63,ASV11116,0,0.000723693,0,0.024123093,B
64,ASV11117,0,0.000697614,0,0.023253792,B
65,ASV11118,0,0.000691094,0,0.023036467,B
66,ASV11119,0,0.000619377,0,0.02064589,B
67,ASV11120,0,0.000573738,0,0.019124614,B
68,ASV11121,0,0.000606337,0,0.02021124,B
69,ASV11122,0,0.000651975,0,0.021732516,B
70,ASV11123,0,0.000586778,0,0.019559265,B
71,ASV11124,0,0.000567219,0,0.018907289,B
72,ASV11125,0,0.000704134,0,0.023471117,B
73,ASV11126,0,0.000560699,0,0.018689964,B
74,ASV11127,0,0.000560699,0.01543226,0.533098622,C
75,ASV11128,0,0.000515061,0,0.017168688,B
76,ASV11129,0,0.000606337,0,0.02021124,B
77,ASV11130,0,0.000547659,0,0.018255314,B
78,ASV11131,0,0.000560699,0,0.018689964,B
79,ASV11132,0,0.00052158,0,0.017386013,B
80,ASV11133,0,0.000619377,0,0.02064589,B
81,ASV11134,0,0.000515061,0,0.017168688,B
82,ASV11135,0,0.000547659,0,0.018255314,B
83,ASV11136,0,0.000599817,0,0.019993915,B
84,ASV11137,0,0.000554179,6.52E-06,0.018689964,B
85,ASV11138,0,0.000599817,0,0.019993915,B
86,ASV11139,0,0.000586778,0,0.019559265,B
87,ASV11140,0,0.000606337,0,0.02021124,B
88,ASV11141,0,0.00054114,0,0.018037988,B
89,ASV11142,0,0.000495501,0,0.016516712,B
90,ASV11143,0,0.000469422,0,0.015647412,B
91,ASV11144,0,0.000475942,0,0.015864737,B
92,ASV11145,0,0.00053462,0,0.017820663,B
93,ASV11146,0,0.000488982,0,0.016299387,B
94,ASV11147,0,0.000508541,0,0.016951363,B
95,ASV11148,0,0.000488982,0,0.016299387,B
96,ASV11149,0,0.000456383,0,0.015212761,B
97,ASV11150,0,0.000475942,0,0.015864737,B
98,ASV11151,0,0.000449863,0,0.014995436,B
99,ASV11152,0,0.000404225,0,0.01347416,B
100,ASV11153,0,0.000423784,0,0.014126136,B
101,ASV11154,0,0.000495501,0,0.016516712,B
102,ASV11155,0,0.000423784,0,0.014126136,B
103,ASV11156,0,0.000495501,0,0.016516712,B
104,ASV11157,0,0.000436824,0,0.014560786,B
105,ASV11158,0,0.000404225,0,0.01347416,B
106,ASV11159,0,0.000417264,0,0.01390881,B
107,ASV1116,9.13E-05,0.001512583,0.00692398,0.284261312,C
108,ASV11160,0,0.000384666,0,0.012822185,B
