,OTUs,a,b,c,size,Class
1,ASV10,0.041204851,0.058397444,0.10133003,6.697744165,c
2,ASV100,0.00025427,0,9.13E-05,0.011518234,a
3,ASV10015,0,0.000228191,0.000169514,0.013256835,b
4,ASV1002,0.00025427,0.001779893,0.017088277,0.6374147,c
5,ASV10022,0,0.000280349,0,0.009344982,b
6,ASV1004,0.005737384,0.004974573,0.001825531,0.417916286,none
7,ASV1005,0.05903638,0.023308124,0.009323249,3.055591776,a
8,ASV1006,0.00026079,0,0,0.008693006,a
9,ASV10068,0.000169514,8.48E-05,0.000280349,0.017820663,c
10,ASV101,0.000495501,0.00159082,0.001114878,0.106706654,none
11,ASV10111,6.52E-06,0.000228191,6.52E-06,0.008041031,b
12,ASV1015,0.000495501,0.000221672,0,0.023905768,a
13,ASV10211,0.000430304,0.000743252,0,0.039118529,b
14,ASV1025,0.00026731,0,2.61E-05,0.009779632,a
15,ASV10251,0.0010562,0,0.000423784,0.049332812,a
16,ASV1030,0.00053462,0,0,0.017820663,a
17,ASV1038,0,0,0.000645456,0.021515191,c
18,ASV1048,0,0,0.000488982,0.016299387,c
19,ASV1058,0,0.001147477,0.000488982,0.054548616,b
20,ASV107,0.001734255,0,0.000495501,0.074325205,a
21,ASV1074,0,0.000280349,0,0.009344982,b
22,ASV1077,0,0.000462903,0,0.015430086,b
23,ASV1082,0,0.001173556,0,0.039118529,b
24,ASV1086,0,0.000332507,0,0.011083583,b
25,ASV1090,0,0,0.000554179,0.018472639,c
26,ASV110,0.004876777,0.000202112,0,0.169296301,a
27,ASV1100,0,0.001082279,0,0.036075977,b
28,ASV1107,0,0,0.000228191,0.007606381,c
29,ASV11086,0,0.000319468,0,0.010648933,b
30,ASV11087,0,0,0.000899726,0.029990872,c
31,ASV11088,0,0,0.000860608,0.028686921,c
32,ASV11089,0,0.002640501,0.002510106,0.171686878,b
33,ASV11090,0,0,0.000925805,0.030860173,c
34,ASV11092,6.52E-06,0.003833616,0.002229756,0.202329726,b
35,ASV11121,0,1.96E-05,0.000404225,0.014126136,c
36,ASV11127,0.000443343,9.13E-05,0,0.017820663,a
37,ASV11129,0.001642978,0,0.000241231,0.062806972,a
38,ASV11149,0.000299909,0.002464467,0.001010562,0.125831269,b
