,OTUs,A,B,C,size,Class
1,ASV1,0.051754445,0.009304724,0.029340149,3.013310613,A
2,ASV10,0.004535773,0.001588529,0.004533531,0.355261093,none
3,ASV100,0.000313894,0,0,0.010463144,A
4,ASV1004,0.00013901,0.00106612,0,0.040170998,B
5,ASV10042,0,0,0.00047981,0.015993662,C
6,ASV1005,0.000156947,0,0.000915899,0.03576153,C
7,ASV1007,0.000887872,0.002571691,0.002126634,0.186206587,none
8,ASV101,0.000571736,0,0,0.019057869,A
9,ASV1017,0.000987646,0.00069281,9.98E-05,0.059340971,A
10,ASV1019,0.00062891,0,0,0.020963656,A
11,ASV102,0.000566131,0,0.000280263,0.028213119,A
12,ASV1020,0.000174884,0.001288088,0.000108742,0.052390455,B
13,ASV10207,0,0,0.001255577,0.041852574,C
14,ASV10208,0,0,0.000665904,0.022196812,C
15,ASV10209,0,0,0.000978678,0.032622587,C
16,ASV10210,0,0,0.000521289,0.017376292,C
17,ASV10211,0,0,0.000802673,0.026755753,C
18,ASV10212,0,0,0.000461873,0.015395768,C
19,ASV10213,0,0,0.000715231,0.02384102,C
20,ASV10214,0,0,0.000726441,0.024214704,C
21,ASV10215,0,0,0.000679357,0.022645232,C
22,ASV10216,0,0,0.00073541,0.024513651,C
23,ASV10217,0,0,0.000700657,0.023355231,C
24,ASV10218,0,0,0.000605368,0.02017892,C
25,ASV10219,0,0,0.000348647,0.011621563,C
26,ASV10220,0,0,0.000627789,0.020926287,C
27,ASV10221,0,0,0.000656936,0.021897865,C
28,ASV10222,0,0,0.000348647,0.011621563,C
29,ASV10223,0,0,0.000331831,0.011061037,C
30,ASV10224,0,0,0.000604247,0.020141551,C
31,ASV10225,0,0,0.000562768,0.018758922,C
32,ASV10226,0,0,0.000505594,0.016853135,C
33,ASV10227,0,0,0.00058631,0.019543657,C
34,ASV10228,0,0,0.000507836,0.016927872,C
35,ASV10229,0,0,0.000525773,0.017525765,C
36,ASV10230,0,0,0.000478689,0.015956294,C
37,ASV10231,0,0,0.000570615,0.0190205,C
38,ASV10232,0,0,0.000489899,0.016329978,C
39,ASV10233,0,0,0.000532499,0.017749976,C
40,ASV10234,0,0,0.000550436,0.01834787,C
41,ASV10235,0,0,0.000248873,0.008295778,C
42,ASV10236,0,0,0.000450663,0.015022085,C
43,ASV10237,0,0,0.000252236,0.008407883,C
44,ASV10238,0,0,0.000243268,0.008108936,C
45,ASV10239,0,0,0.000249994,0.008333146,C
46,ASV10240,0,0,0.000241026,0.0080342,C
47,ASV10241,0,0,0.000258963,0.008632093,C
48,ASV10242,0,0,0.000257842,0.008594725,C
49,ASV10243,0,0,0.00042712,0.014237349,C
50,ASV10244,0,0,0.000400215,0.013340508,C
51,ASV10245,0,0,0.000397973,0.013265771,C
52,ASV10246,0,0,0.00022421,0.007473674,C
53,ASV10247,0,0,0.000409184,0.013639455,C
54,ASV10248,0,0,0.000433847,0.014461559,C
55,ASV10249,0,0,0.000412547,0.01375156,C
56,ASV10250,0,0,0.00022421,0.007473674,C
57,ASV10251,0,0,0.000210758,0.007025254,C
58,ASV10252,0,0,0.000396852,0.013228403,C
59,ASV10253,0,0,0.000214121,0.007137359,C
60,ASV10254,0,0,0.000429363,0.014312086,C
61,ASV10255,0,0,0.000449541,0.014984716,C
62,ASV10256,0,0,0.000356494,0.011883142,C
63,ASV10257,0,0,0.000215242,0.007174727,C
64,ASV10258,0,0,0.000207394,0.006913148,C
65,ASV10259,0,0,0.000341921,0.011397353,C
66,ASV10260,0,0,0.000332952,0.011098406,C
67,ASV10263,0,0,0.000325105,0.010836827,C
68,ASV10265,0,0,0.000211879,0.007062622,C
69,ASV10267,0,0,0.00043721,0.014573664,C
70,ASV10276,0,0,0.000207394,0.006913148,C
71,ASV10289,0,0,0.000964104,0.032136798,C
72,ASV1029,0.000128921,0.000566131,0,0.023168389,B
73,ASV103,0.000539226,2.69E-05,0,0.018871027,A
74,ASV1037,0.000168158,0.001549293,5.27E-05,0.059004656,B
75,ASV104,0.000579583,0,3.36E-06,0.019431552,A
76,ASV1042,0.000113226,0.000433847,0.000284747,0.02772733,B
77,ASV105,0.000929351,0,0,0.030978379,A
78,ASV1051,0.000354252,0,0,0.011808405,A
79,ASV106,0.000503352,1.12E-06,0.000256721,0.025373123,A
80,ASV1062,0.000110984,0.001402435,0.002108697,0.120737203,C
81,ASV1063,0.000531378,0,0.000391247,0.030754168,A
82,ASV1065,0.000119952,0.000307168,0.000270173,0.023243126,none
