,OTUs,a,b,c,size,Class
1,ASV1,0.023715836,0.050465236,0.023993857,3.272497627,b
2,ASV10,0.009014372,0.010367481,0.003828389,0.773674731,none
3,ASV100,0.000569494,0,0,0.018983132,a
4,ASV10034,0,0.0002343,0,0.007809989,b
5,ASV1004,0.000494384,0.00148203,0,0.065880436,b
6,ASV1007,0,0,0.002670344,0.089011457,c
7,ASV10094,0,0.000642362,0.000233179,0.029184697,b
8,ASV1017,0.000560526,0,0.003376606,0.131237715,c
9,ASV102,0,1.12E-06,0.000242147,0.008108936,c
10,ASV10212,0.00042712,0,0,0.014237349,a
11,ASV10228,0.000494384,0.000695052,0,0.03964784,b
12,ASV10249,0.000285868,0,0,0.009528934,a
13,ASV10261,0,0.000291473,0,0.009715776,b
14,ASV10268,0,0,0.000456268,0.015208927,c
15,ASV10288,0,0.000568373,0,0.018945764,b
16,ASV1029,0,0,0.002522365,0.084078832,c
17,ASV10295,0,0.000299321,0.000265689,0.018833658,b
18,ASV10337,0.000145737,0.000695052,0,0.028026277,b
19,ASV1036,0,0.001165893,0.0003195,0.04951309,b
20,ASV10362,0.000262326,0.000278021,0,0.018011554,b
21,ASV1037,5.27E-05,0.001445035,0.001404677,0.09674671,none
22,ASV10378,0.000232058,0,0,0.007735253,a
23,ASV10389,0,0.000225331,0,0.007511042,b
24,ASV10395,0.000738773,0,0,0.024625756,a
25,ASV104,2.24E-06,0,0.002068339,0.069019379,c
26,ASV1041,0,7.29E-05,0.000295957,0.012294194,c
27,ASV10425,0.000223089,0,0,0.007436306,a
28,ASV10428,0,0.0002343,0,0.007809989,b
29,ASV10430,0.000280263,0,0.000209637,0.016329978,a
30,ASV1046,0,0.00081052,2.35E-05,0.027802067,b
31,ASV10468,0.003254411,3.36E-06,1.46E-05,0.109078272,a
32,ASV10492,0,0.000384521,0,0.012817351,b
33,ASV1051,0,0.000174884,0.000322863,0.016591556,c
34,ASV10534,0,0.000978678,0,0.032622587,b
35,ASV10575,0,0.000335194,0,0.011173143,b
36,ASV10596,1.12E-06,0.000321742,0,0.010762091,b
37,ASV10605,0,0.000770162,0,0.02567207,b
38,ASV1062,0.001284725,0.000748862,0.003578395,0.18706606,c
39,ASV1063,0,0.000857604,0.002408018,0.108854062,c
40,ASV1065,0.000822852,0.00135423,0.000873299,0.101679335,none
41,ASV1066,0,0.000325105,0.000196184,0.017376292,b
42,ASV107,0.000169279,0,0.000381157,0.01834787,c
43,ASV1071,0.004410215,0,0.000480931,0.163038198,a
44,ASV10713,1.12E-06,0.000572857,0,0.019132605,b
45,ASV1072,0,0,0.001850855,0.061695179,c
46,ASV1076,0,0.000888994,0.000839667,0.057622026,b
47,ASV108,0.000208516,0.002956212,0.000219726,0.112815109,b
48,ASV10836,0.00061882,0.000124437,0.00026681,0.033668901,a
49,ASV10850,0.001043699,0,0,0.034789952,a
50,ASV1086,0,0.000887872,0,0.029595749,b
51,ASV10865,0.000177126,0.000225331,0.000303805,0.023542073,none
52,ASV10917,6.05E-05,0.000417031,0,0.015918926,b
53,ASV10926,0.000172642,0.000461873,0,0.021150497,b
54,ASV1098,0.000211879,0.000493262,0.000359857,0.035499951,none
55,ASV1099,2.80E-05,1.12E-06,0.000264568,0.009790513,c
56,ASV11,0.001584045,0.004008879,0.00168494,0.242595458,b
57,ASV110,0,0.000211879,0.000211879,0.014125244,c
58,ASV11008,0,0,0.000257842,0.008594725,c
59,ASV11021,1.12E-06,0.000404699,5.49E-05,0.0153584,b
60,ASV11098,0,0,0.000375552,0.012518404,c
61,ASV1116,0.000242147,0.000389005,3.92E-05,0.022346285,b
62,ASV11189,0.000573978,0,1.23E-05,0.019543657,a
63,ASV1120,0.000252236,0.000468599,0,0.024027862,b
64,ASV1121,0.003197238,0.001682698,0.003044775,0.264157007,none
65,ASV1122,0.001330688,0.0003621,0.000403578,0.069878852,a
66,ASV1126,0.00062891,0.000226452,0.000391247,0.041553627,a
67,ASV1135,0.000219726,3.36E-05,0.002949485,0.106761433,c
68,ASV1138,0.000449541,0,0,0.014984716,a
69,ASV114,0.000249994,0,5.61E-05,0.010201565,a
70,ASV11400,0.001483151,0,0,0.049438353,a
71,ASV1142,5.61E-06,9.75E-05,0.000920383,0.034117322,c
72,ASV11420,1.12E-05,0,0.001067241,0.035948372,c
73,ASV1143,0.003136701,0.001524629,0.001075088,0.191213949,a
74,ASV11432,0.000253358,7.06E-05,0,0.010799459,a
75,ASV1146,0,0,0.000254479,0.00848262,c
76,ASV1147,0,0,0.000439452,0.014648401,c
77,ASV11475,0.0002982,0,0,0.009939986,a
78,ASV11476,0,0,0.000265689,0.008856304,c
79,ASV1150,0,2.24E-06,0.00052241,0.017488397,c
80,ASV11517,0,0,0.00020291,0.006763675,c
81,ASV11518,0,0.000401336,0,0.013377876,b
82,ASV1152,0.000238784,0,0.000232058,0.015694715,a
83,ASV1154,0,0,0.000230937,0.007697884,c
84,ASV1155,0,0,0.000420394,0.014013139,c
85,ASV11552,0,0,0.000360978,0.012032615,c
86,ASV11562,0,0.001146835,0,0.038227842,b
87,ASV1157,3.36E-06,0.000188337,0.001175983,0.045589411,c
88,ASV11581,0.000641241,0,0,0.021374708,a
