OTU,NM-L+P+1,NM-L+P+2,NM-L+P+3,NM-L+P+4,NM-L+P+5,AM-L-P+1,AM-L-P+2,AM-L-P+3,AM-L-P+4,AM-L-P+5,NM-L+P-1,NM-L+P-2,NM-L+P-3,NM-L+P-4,NM-L+P-5,AM-L-P-1,AM-L-P-2,AM-L-P-3,AM-L-P-4,AM-L-P-5
OTU1,1061,657,347,5308,927,9657,12516,2887,1099,13,1137,9388,17814,5597,11080,17911,375,3058,18,41
OTU2,0,282,204,2021,332,1982,2666,24,11,3,1183,2601,6636,3939,2228,5643,0,593,6,19
OTU3,297,221,157,2020,1036,2837,3412,511,14,2,21,2874,5663,2639,3017,7078,22,664,5,14
OTU4,33,16,0,0,16,0,4,8,0,3,0,0,0,8,0,0,3,0,0,13
OTU5,199,102,125,34,266,0,0,105,32,51,0,0,8,65,48,6,28,27,20,26
OTU6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU7,160,133,151,14,14,0,3,9,137,228,1835,724,302,149,513,10,0,150,2,941
OTU8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU9,0,0,101,948,316,754,1150,780,0,9,4272,644,2853,5149,0,3211,226,940,5,0
OTU10,0,0,8,651,758,1713,1424,0,907,0,0,1909,1078,3265,2996,1471,6,1931,0,7
OTU11,610,404,0,402,189,885,1208,11,1,0,0,767,2209,600,0,1496,0,0,5,2
OTU12,2011,1737,679,3783,432,1148,1197,7806,4947,5155,8986,3010,846,1471,2691,834,13199,1281,5741,5665
OTU13,11,10,104,1396,10,854,1369,4,0,5,553,98,2553,837,2843,1974,4,2,5,9
OTU14,368,231,0,419,8,1002,1305,5,0,0,0,357,1386,983,961,931,4,0,0,4
OTU15,550,0,1143,0,0,0,497,0,0,0,0,0,0,0,0,1378,0,0,0,0
OTU16,0,0,112,0,0,677,971,0,0,7,581,0,961,994,906,1812,0,0,0,2
OTU17,0,0,5,296,16,1080,1194,0,0,2,0,652,2153,1092,1368,1834,0,0,2,0
OTU18,0,0,50,1000,23,827,986,13,2,0,974,1045,1542,4493,2069,1774,5,0,1,0
OTU19,4504,3423,0,582,0,724,920,4595,1619,5804,2802,666,1329,1490,6103,345,267,5677,4374,2849
OTU20,995,691,80,485,26,925,1046,793,0,0,6,383,1314,2781,0,1333,0,961,0,0
OTU21,0,4,0,350,8,1101,1049,0,0,0,465,326,1917,942,436,995,0,0,0,4
OTU22,0,2,0,542,13,974,942,11,1,1,0,644,1783,948,804,2396,83,2,0,2
OTU23,416,244,0,0,27,648,1083,13,1749,0,0,1140,1076,2071,1174,1895,287,0,0,0
OTU24,0,0,0,0,0,506,0,0,0,0,0,0,346,0,1122,1,0,0,0,0
OTU25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU26,7,14,72,450,1051,498,864,0,0,0,936,193,2198,1088,0,1774,0,0,0,0
OTU27,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0
OTU28,5,4,47,280,14,424,360,0,0,1,432,821,702,708,5,467,0,0,0,0
OTU29,13,0,91,148,0,0,0,0,818,0,0,0,863,503,3,0,0,860,1,3
OTU30,0,544,0,365,341,684,709,455,1694,933,1729,814,1250,674,743,878,673,0,908,48
OTU31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU32,0,0,0,0,0,0,0,0,0,0,0,1059,302,0,0,0,0,0,0,0
OTU33,0,0,0,726,389,616,618,0,0,0,0,731,809,1047,0,1256,0,1269,0,6
OTU34,1091,981,1587,3251,0,0,0,0,0,0,1432,1550,0,0,2205,486,2270,1771,4074,0
OTU35,0,0,0,710,0,516,531,0,0,0,0,646,0,912,0,1129,3,0,0,0
OTU36,0,0,0,0,1238,748,579,7422,7468,9743,1635,2030,723,0,0,639,8281,418,4083,788
OTU37,0,0,51,0,583,203,536,0,0,0,859,0,685,1337,0,683,0,0,0,0
OTU38,0,0,0,14,0,721,648,0,0,0,0,0,655,0,0,377,0,0,0,0
